,Time,t3-1,t3-2,t3-3,t3-4,t3-5,t20-1,t20-2,t20-3,t20-4,t20-5,t37-1,t37-2,t37-3,t37-4,t37-5
128,12.8,0.4887448,0.3605644,0.2884069,0.2739362,0.2696285,0.5529982,0.3787626,0.3314633,0.31769,0.2807068,0.459783,0.3718652,0.325296,0.3258446,0.3592728
129,12.9,0.4801722,0.3726665,0.2969721,0.2898403,0.2702647,0.5385996,0.3840643,0.3461759,0.3198224,0.2711494,0.4478185,0.3587928,0.3218409,0.3166183,0.3470428
130,13.0,0.4812033,0.3648337,0.2975799,0.2834617,0.2687781,0.5533385,0.3904353,0.3513494,0.3305022,0.2794822,0.4439252,0.3883887,0.3194812,0.322367,0.3583814
131,13.1,0.474406,0.3603831,0.298889,0.270019,0.2798548,0.5609952,0.3816783,0.3404016,0.3436662,0.2787808,0.4158115,0.3849685,0.3139484,0.3316062,0.3853793
132,13.2,0.4758564,0.3532166,0.289101,0.2845988,0.2839018,0.5504053,0.3775991,0.347921,0.3216947,0.2828148,0.4199231,0.3826112,0.3083085,0.333397,0.3829106
133,13.3,0.4943461,0.3375752,0.2928832,0.2785678,0.2853855,0.5231522,0.3853703,0.3569606,0.3132765,0.2842031,0.4411803,0.3912246,0.3184806,0.320868,0.3806117
134,13.4,0.4909435,0.3508434,0.2923571,0.2745758,0.2789484,0.5138396,0.3903389,0.329737,0.3357118,0.2756573,0.4494152,0.3934642,0.3129787,0.3187403,0.3580783
135,13.5,0.4678953,0.3601583,0.2901989,0.2888604,0.2844071,0.5127844,0.3701334,0.3329866,0.325218,0.2914972,0.4490755,0.3933745,0.3256344,0.3011638,0.3668544
136,13.6,0.4663375,0.3748536,0.2926267,0.2925214,0.2924542,0.5490654,0.3834067,0.345217,0.335413,0.2867806,0.441438,0.3806229,0.3269555,0.3066648,0.346377
137,13.7,0.4843548,0.359687,0.2914181,0.2787786,0.2882849,0.555551,0.3929132,0.3343481,0.3408324,0.2873339,0.4790764,0.3974555,0.3284856,0.3105835,0.3580664
138,13.8,0.4731089,0.3509538,0.2934981,0.2801497,0.290787,0.5894533,0.3985758,0.3345622,0.3254183,0.28691,0.4716677,0.3679575,0.330741,0.3090618,0.3383765
139,13.9,0.4638964,0.3608873,0.2899296,0.2829319,0.2976036,0.582294,0.39408,0.336509,0.3126615,0.2792752,0.4550236,0.3790351,0.3481483,0.3254661,0.3300472
140,14.0,0.4641428,0.3640692,0.3007299,0.2762378,0.2948169,0.5588782,0.3970672,0.3401106,0.3240932,0.28306,0.4591328,0.3660104,0.3258009,0.3257213,0.3418691
141,14.1,0.4733724,0.3723729,0.2961763,0.2788754,0.2961792,0.5841506,0.3884172,0.3299945,0.3222707,0.2878035,0.4672261,0.3731466,0.3289441,0.3194837,0.3433625
